 trial	counterbalance	trialType	trialID	cond	audio	target_pic	target_contrast_good	target_contrast_bad	big_filler	small_filler
44	l1	train	train4	contrast	checkerboard_small.wav	checkerboard_small.jpg	checkerboard_big.jpg	binoculars_big.jpg	plastichouse_big.jpg	stoplight_small.jpg
45	l1	train	train5	contrast	briefcase_big.wav	briefcase_big.jpg	briefcase_small.jpg	calculator_small.jpg	lizard_big.jpg	carseat_small.jpg
46	l1	train	train6	contrast	spaceship_small.wav	spaceship_small.jpg	spaceship_big.jpg	fishbowl_big.jpg	rollingpin_big.jpg	grill_small.jpg
47	l1	train	train7	contrast	beetle_big.wav	beetle_big.jpg	beetle_small.jpg	lei_small.jpg	beermug_big.jpg	pinkdice_small.jpg
48	l1	train	train8	contrast	butterfly_small.wav	butterfly_small.jpg	butterfly_big.jpg	parkingmeter_big.jpg	victrola_big.jpg	bed_small.jpg
49	l1	train	train9	contrast	door_big.wav	door_big.jpg	door_small.jpg	soccerball_small.jpg	caterpillar_big.jpg	globe_small.jpg
50	l1	train	train10	contrast	saw_small.wav	saw_small.jpg	saw_big.jpg	potatochips_big.jpg	fishingpole_big.jpg	dart_small.jpg
51	l1	train	train11	contrast	rope_big.wav	rope_big.jpg	rope_small.jpg	ironingboard_small.jpg	deer_big.jpg	stampset_small.jpg
52	l1	train	train12	contrast	drum_small.wav	drum_small.jpg	drum_big.jpg	floppydiscs_big.jpg	stroller_big.jpg	doll_small.jpg
53	l1	train	train13	contrast	violin_big.wav	violin_big.jpg	violin_small.jpg	maracas_small.jpg	firealarm_big.jpg	beaker_small.jpg
54	l1	train	train14	contrast	harp_small.wav	harp_small.jpg	harp_big.jpg	webcam_big.jpg	anchor_big.jpg	fountain_small.jpg
55	l1	train	train15	contrast	flute_big.wav	flute_big.jpg	flute_small.jpg	toolbelt_small.jpg	frenchfries_big.jpg	xylophone_small.jpg
56	l1	train	train16	contrast	wheel_small.wav	wheel_small.jpg	wheel_big.jpg	safetypin_big.jpg	africanmask_big.jpg	graduationhat_small.jpg
57	l1	train	train17	contrast	house_big.wav	house_big.jpg	house_small.jpg	antelope_small.jpg	hippo_big.jpg	candle_small.jpg
58	l1	train	train18	contrast	airplane_small.wav	airplane_small.jpg	airplane_big.jpg	crab_big.jpg	beaver_big.jpg	kangaroo_small.jpg
59	l1	train	train19	contrast	target_big.wav	target_big.jpg	target_small.jpg	clarinet_small.jpg	kiwi_big.jpg	toyhammer_small.jpg
60	l1	train	train20	contrast	teabag_small.wav	teabag_small.jpg	teabag_big.jpg	chipmunk_big.jpg	groceries_big.jpg	lion_small.jpg
